beer,user,rating
6301,bluejacket74,3.97
6533,bluejacket74,4.05
6549,bluejacket74,4.53
38470,bluejacket74,4.13
7348,bluejacket74,4.42
7531,bluejacket74,3.97
52928,bluejacket74,4.48
29619,bluejacket74,4.42
8919,bluejacket74,4.09
8951,bluejacket74,4.17
34146,bluejacket74,4.2
9086,bluejacket74,4.5
20564,bluejacket74,3.86
34483,bluejacket74,4.47
18199,bluejacket74,4.32
10325,bluejacket74,4.72
10482,bluejacket74,4.0
10672,bluejacket74,4.35
11757,bluejacket74,4.67
12013,bluejacket74,4.23
88880,bluejacket74,4.34
55412,bluejacket74,3.99
14712,bluejacket74,3.94
17538,bluejacket74,4.38
15813,bluejacket74,4.27
15881,bluejacket74,4.62
16074,bluejacket74,4.0
22352,bluejacket74,4.5
20445,bluejacket74,3.82
80197,bluejacket74,4.59
99873,bluejacket74,4.3
58914,bluejacket74,3.62
109789,bluejacket74,3.8
71969,bluejacket74,4.38
18862,bluejacket74,4.12
19216,bluejacket74,4.53
28877,bluejacket74,4.4
20478,bluejacket74,4.13
20931,bluejacket74,3.8
21300,bluejacket74,3.66
21822,bluejacket74,4.5
37265,bluejacket74,4.5
60420,bluejacket74,3.88
22381,bluejacket74,4.05
77299,bluejacket74,3.92
221289,bluejacket74,4.47
39621,bluejacket74,4.24
46987,bluejacket74,4.47
168971,bluejacket74,4.29
25755,bluejacket74,3.98
84596,bluejacket74,4.43
28204,bluejacket74,4.65
90156,bluejacket74,4.34
48434,bluejacket74,4.18
95386,bluejacket74,3.53
33832,bluejacket74,4.47
37795,bluejacket74,3.78
80291,bluejacket74,4.47
51512,bluejacket74,4.02
82250,bluejacket74,4.49
189272,bluejacket74,4.5
111969,bluejacket74,4.0
89345,bluejacket74,4.47
52361,bluejacket74,4.47
39286,bluejacket74,3.2
35625,bluejacket74,4.42
50570,bluejacket74,4.2
137955,bluejacket74,4.3
51480,bluejacket74,4.35
35720,bluejacket74,3.88
73618,bluejacket74,4.42
42723,bluejacket74,4.2
181572,bluejacket74,4.54
50176,bluejacket74,4.4
55081,bluejacket74,3.66
64228,bluejacket74,4.53
172420,bluejacket74,4.18
41626,bluejacket74,4.26
50564,bluejacket74,4.47
81067,bluejacket74,4.5
43687,bluejacket74,4.59
56973,bluejacket74,4.5
94350,bluejacket74,4.47
86149,bluejacket74,4.47
125646,Lucular,4.25
47658,Lucular,4.37
58610,Lucular,3.74
48824,Lucular,4.07
50697,Lucular,4.25
55939,Lucular,2.15
68916,Lucular,4.2
74986,Lucular,4.48
76816,Lucular,4.05
117177,Lucular,4.1
100217,Lucular,4.09
88969,Lucular,4.73
178740,Lucular,3.71
195,Lucular,3.27
86237,Lucular,5.0
53453,Lucular,3.75
1493,Lucular,3.37
2264,Lucular,4.06
31,Lucular,3.74
34,Lucular,4.48
39,Lucular,3.97
63,Lucular,3.77
65,Lucular,1.37
73,Lucular,3.58
38394,Lucular,4.53
16403,Lucular,3.77
92,Lucular,3.6
101,Lucular,3.69
102,Lucular,3.44
103,Lucular,3.25
104,Lucular,3.59
108,Lucular,3.34
129,Lucular,4.53
131,Lucular,4.58
132,Lucular,4.09
141,Lucular,3.98
142,Lucular,3.77
147,Lucular,3.14
155,Lucular,4.06
28577,Lucular,3.75
52855,Lucular,3.9
184,Lucular,3.5
219,Lucular,4.28
221,Lucular,4.21
224,Lucular,4.45
449,Lucular,3.06
226,Lucular,4.24
228,Lucular,4.09
229,Lucular,3.96
232,Lucular,2.44
276,Lucular,4.09
283,Lucular,4.21
162643,Lucular,3.75
299,Lucular,3.85
332,Lucular,3.0
355,Lucular,3.44
386,Lucular,3.74
387,Lucular,3.87
402,Lucular,3.86
7463,Lucular,4.22
411,Lucular,4.09
412,Lucular,4.13
429,Lucular,3.53
78906,Lucular,3.84
56199,Lucular,4.39
703,Lucular,3.54
571,Lucular,4.24
1798,Lucular,3.5
572,Lucular,4.24
78011,Lucular,4.46
576,Lucular,4.0
577,Lucular,3.52
582,Lucular,3.93
593,Lucular,3.95
916,Lucular,3.6
599,Lucular,4.07
622,Lucular,3.98
639,Lucular,3.48
650,Lucular,2.99
6305,Lucular,4.46
673,Lucular,4.46
100421,Lucular,3.97
694,Lucular,4.24
695,Lucular,3.6
712,Lucular,3.93
722,Lucular,4.6
731,Lucular,4.69
751,Lucular,3.27
752,Lucular,3.98
754,Lucular,3.55
760,Lucular,4.18
776,Lucular,4.65
56469,Lucular,3.42
779,Lucular,4.34
782,Lucular,4.49
808,Lucular,4.24
175577,Lucular,4.28
811,Lucular,3.5
115317,Lucular,4.0
5428,Lucular,4.15
17141,Lucular,3.35
17112,Lucular,4.21
1003,Lucular,4.1
1005,Lucular,3.77
1009,Lucular,3.75
1010,Lucular,3.81
1013,Lucular,3.93
1056,Lucular,3.54
1093,Lucular,4.22
1094,Lucular,3.75
1963,Lucular,3.85
1117,Lucular,4.24
1118,Lucular,4.16
1157,Lucular,3.52
1160,Lucular,4.15
72170,Lucular,4.54
1256,Lucular,3.73
49789,Lucular,4.0
1287,Lucular,3.92
45897,Lucular,4.09
1339,Lucular,3.62
1696,Lucular,4.56
1385,Lucular,4.23
176650,Lucular,4.78
1421,Lucular,3.96
1444,Lucular,3.77
1446,Lucular,4.06
1576,Lucular,3.95
1917,Lucular,4.3
113523,Lucular,4.78
1577,Lucular,5.0
1579,Lucular,3.83
1585,Lucular,5.0
59151,Lucular,3.85
53886,Lucular,4.21
187317,Lucular,4.25
1717,Lucular,4.0
38180,Lucular,4.03
1745,Lucular,4.26
32286,Lucular,3.01
48505,Lucular,4.02
1855,Lucular,4.58
1881,Lucular,4.18
1904,Lucular,4.29
1914,Lucular,4.28
2729,Lucular,3.27
1924,Lucular,4.17
1934,Lucular,4.36
86621,Lucular,4.52
1946,Lucular,4.16
24071,Lucular,4.25
144200,Lucular,3.82
28203,Lucular,3.81
48385,Lucular,2.66
30764,Lucular,4.2
148052,Lucular,4.0
6076,Lucular,4.19
54904,Lucular,3.92
35036,Lucular,4.67
169625,Lucular,4.24
45175,Lucular,3.96
6322,Lucular,4.36
41815,Lucular,4.42
14309,Lucular,4.28
19960,Lucular,4.21
7597,Lucular,3.93
2137,Lucular,3.48
6518,Lucular,3.5
89174,Lucular,4.34
2511,Lucular,3.79
2671,Lucular,3.85
132073,Lucular,4.48
3434,Lucular,4.08
3457,Lucular,4.21
